,Week,Rank,Fantasy
2670,8,28,21.8
2671,9,22,18.5
2672,10,7,12.8
2673,11,24,10.7
2674,12,26,4.2
2675,13,15,23.7
2676,14,19,12.6
2677,15,32,19.2
2678,16,31,25.2
2679,2,2,5.8
2680,3,27,15.2
2681,4,29,8.8
2682,5,23,7.5
2683,7,15,14.7
2684,8,19,10.7
2685,9,11,6.8
2686,10,14,11.2
2687,11,12,5.7
2688,12,2,23.3
2689,13,19,10.9
2690,15,9,0.1
2691,1,23,9.6
2692,4,13,1.4
2693,5,12,10
2694,6,29,7.3
2695,7,23,17.6
2696,8,30,3
2697,9,19,21.6
2698,10,12,13.3
2699,11,29,14.4
2700,12,21,14.5
2701,13,2,11.9
2702,14,6,11.7
2703,15,28,18.3
2704,1,19,6.7
2705,2,14,7.9
2706,3,2,1.6
2707,5,27,15
2708,6,16,4.5
2709,7,15,20.7
2710,9,14,20.2
2711,10,25,4.3
2712,11,1,3.5
2713,12,27,18.6
2714,13,5,2.9
2715,14,10,24.3
2716,15,30,28.2
2717,1,24,11.7
2718,2,25,3.9
2719,3,15,13.1
2720,4,26,15.6
2721,5,28,14
2722,6,31,12.7
2723,7,4,11.48
2724,8,17,23.2
2725,9,5,18.8
2726,10,3,14.1
2727,11,17,8.2
2728,12,28,21.6
2729,13,12,11.6
2730,14,24,7.3
2731,15,1,10
2732,2,12,3.2
2733,3,3,8.5
2734,4,6,13.2
2735,5,16,2.1
2736,6,13,2.6
2737,7,7,3
2738,8,22,1.9
2739,9,3,0.8
2740,11,6,21.7
2741,12,11,1.9
2742,13,13,47.8
2743,14,29,18.8
2744,15,23,20.7
2745,1,16,4.1
2746,2,1,2.3
2747,3,14,1.7
2748,4,3,2.3
2749,5,12,2.1
2750,6,28,19.3
2751,7,27,10.3
2752,8,25,14.2
2753,9,8,10.6
2754,10,1,19.7
2755,12,25,4.9
2756,13,9,11.1
2757,14,16,14.1
2758,15,24,2.2
2759,1,3,3.7
2760,3,19,7
2761,4,30,0.4
2762,5,2,6.3
2763,7,11,3.4
2764,8,24,7.5
2765,9,23,17.7
2766,10,13,18.6
2767,11,11,18.7
2768,12,12,9.9
2769,13,16,24.1
2770,14,21,23
2771,15,6,12.4
2772,16,12,38.2
2773,1,25,6.5
2774,2,9,15
2775,3,5,9.6
2776,4,4,27.7
2777,5,22,10.6
2778,6,2,11
2779,9,9,11.1
2780,11,27,3.3
2781,14,1,0.7
2782,2,2,4.5
2783,3,27,10.4
2784,4,29,6.4
2785,5,23,28.5
2786,7,15,0.7
2787,8,19,8.1
2788,9,11,6.6
2789,10,14,3.4
2790,12,2,2.7
2791,13,19,16.1
2792,15,9,5.6
2793,16,10,4.6
2794,1,1,4.9
2795,2,30,7.5
2796,4,16,7.8
2797,5,13,14
2798,6,21,4.9
2799,7,24,26.4
2800,8,9,22.7
2801,9,3,3.9
2802,10,12,18.7
2803,11,2,17.4
2804,12,9,14.8
2805,13,26,30.4
2806,14,25,8.2
2807,16,26,10.7
2808,1,30,8.7
2809,2,20,12.5
2810,4,25,12.4
2811,5,19,12.6
2812,6,10,17.1
2813,7,9,14.5
2814,8,26,6.3
2815,9,16,20.8
2816,10,5,6.1
2817,11,32,6.6
2818,12,30,17.5
2819,14,11,16.4
2820,15,16,12.7
2821,16,25,8.4
2822,1,23,41.8
2823,3,31,10.6
2824,4,20,30.9
2825,5,17,2.7
2826,6,11,21.7
2827,7,23,22.7
2828,8,10,31.7
2829,9,27,12
2830,10,6,24.3
2831,11,15,21.8
2832,12,21,22.9
2833,13,3,12.5
2834,14,15,6.1
2835,15,32,19.5
2836,16,27,31
2837,1,5,19.5
2838,2,15,7.2
2839,3,9,20.3
2840,4,3,20.8
2841,5,13,15.9
2842,6,14,4.3
2843,8,24,19
2844,9,8,5.5
2845,10,20,9.9
2846,11,28,19.1
2847,12,3,6.3
2848,13,24,7.5
2849,14,6,15.9
2850,15,26,14.3
2851,16,13,18
2852,1,8,9.4
2853,2,3,7.8
2854,3,26,21
2855,4,13,6
2856,5,9,18.3
2857,6,5,5.6
2858,7,14,8.1
2859,8,1,13.4
2860,9,23,3.1
2861,10,28,18.6
2862,11,6,4.1
2863,13,1,4.5
2864,14,13,21
2865,15,10,3.2
2866,16,3,6.5
2867,1,6,6.2
2868,2,24,11.7
2869,3,13,9.6
2870,4,1,2.9
2871,5,32,27.9
2872,6,8,12.6
2873,7,28,7.3
2874,8,14,18
2875,9,5,10.2
2876,10,26,19.1
2877,11,9,12.9
2878,12,1,5
2879,13,29,12
2880,15,13,9.2
2881,16,24,13.7
2882,1,26,13.3
2883,2,23,8.9
2884,3,15,15.8
2885,4,4,18.3
2886,5,29,8.9
2887,6,19,14.3
2888,7,31,11.8
2889,8,25,21.2
2890,9,31,13.5
2891,10,21,0.4
2892,11,27,10.3
2893,13,18,17.5
2894,14,21,8
2895,15,2,5.2
2896,1,9,10.5
2897,2,11,12.1
2898,3,3,24
2899,4,24,17
2900,5,5,11.7
2901,6,1,9
2902,8,8,32
2903,9,6,14.9
2904,10,27,20.3
2905,11,26,37.4
2906,12,14,7.9
2907,13,28,9.8
2908,14,24,8.2
2909,15,3,4
2910,16,1,1.6
2911,1,10,3.9
2912,2,13,8.8
2913,3,16,15.6
2914,4,23,1.9
2915,5,29,17
2916,6,27,18.5
2917,7,28,8.2
2918,8,20,3.2
2919,9,32,2.2
2920,10,30,19.1
2921,11,25,8.2
2922,12,32,10.7
2923,13,10,0.1
2924,14,12,13.8
2925,15,15,3.1
2926,16,20,1.5
2927,1,19,30.1
2928,2,31,12.6
2929,3,2,4.3
2930,4,17,3.3
2931,5,26,30.8
2932,6,25,11.1
2933,8,28,8.1
2934,9,18,7.8
2935,10,14,16.4
2936,11,21,13.9
2937,12,19,16
2938,13,8,6.1
2939,14,18,9.8
2940,15,6,22.9
2941,16,2,15.1
2942,1,10,16
2943,2,13,7.6
2944,3,16,15.4
2945,4,23,8.1
2946,5,29,11.7
2947,6,27,13.1
2948,7,28,23.8
2949,8,20,10
2950,9,32,18.1
2951,10,30,12.6
2952,11,25,21.6
2953,12,32,13.6
2954,13,10,4.9
2955,14,12,21.3
2956,15,15,23.7
2957,16,20,16
2958,1,15,21
2959,2,12,15.3
2960,3,30,18.2
2961,4,29,12.9
2962,7,32,43.6
2963,8,25,13.5
2964,9,11,9.4
2965,10,1,3
2966,11,14,6.5
2967,12,10,16.7
2968,13,27,38.9
2969,14,32,13.8
2970,15,23,7.6
2971,1,3,7.8
2972,2,8,10.2
2973,3,14,14.8
2974,4,28,27.5
2975,5,18,10.7
2976,6,32,18.7
2977,7,2,9.1
2978,8,19,10.2
2979,9,13,11
2980,10,29,10.7
2981,11,24,6.3
2982,12,8,6.1
2983,13,14,5.4
2984,14,1,5.5
2985,15,4,10.2
2986,1,25,8.3
2987,3,11,14.5
2988,4,5,13.7
2989,5,21,9.3
2990,6,20,14.9
2991,7,26,15.9
2992,8,32,18.5
2993,9,12,21.4
2994,10,9,6
2995,11,30,5.2
2996,3,1,8.7
2997,4,24,0.3
2998,6,12,7.2
2999,7,30,22.9
3000,8,5,4.6
3001,9,26,15.1
3002,10,16,8.2
3003,11,3,5.5
3004,12,5,16.3
3005,14,19,17
3006,15,25,16.7
3007,1,21,7.5
3008,2,28,9.9
3009,3,4,3.9
3010,4,19,3.4
3011,6,14,8.2
3012,7,18,16.4
3013,8,6,7.2
3014,9,31,18.8
3015,10,18,6.6
3016,11,5,3.6
3017,12,16,7.6
3018,13,19,2.8
3019,14,8,10.2
3020,15,17,4.9
3021,16,4,3.5
3022,2,4,1.9
3023,3,29,4.3
3024,4,15,12.6
3025,5,18,9.3
3026,6,17,6.2
3027,7,27,3.6
3028,8,2,1.6
3029,9,17,19.6
3030,10,19,6.6
3031,12,23,9.1
3032,13,21,14.3
3033,15,30,8.8
3034,16,21,7.7
3035,1,27,12.4
3036,2,25,17.8
3037,6,6,2.8
3038,7,20,21
3039,8,16,5.9
3040,9,11,21.6
3041,10,10,18
3042,11,12,15.8
3043,12,11,17.5
3044,13,30,17.3
3045,14,20,0.6
3046,15,29,4.1
3047,16,10,4.3
3048,1,17,1.2
3049,2,9,4.3
3050,3,24,7.1
3051,5,4,3.4
3052,6,16,2.9
3053,7,12,3.8
3054,11,13,9.8
3055,12,25,15.9
3056,13,5,11.3
3057,14,30,11.9
3058,15,1,8
3059,16,5,3.1
3060,1,4,15.6
3061,2,21,41.2
3062,3,18,3.9
3063,4,2,6.4
3064,5,12,9.6
3065,6,17,4.7
3066,8,6,8.8
3067,9,28,3.9
3068,10,31,1.7
3069,11,8,9.7
3070,12,4,4.2
3071,13,2,1.2
3072,14,9,13.7
3073,15,14,5.7
3074,3,12,4.6
3075,4,21,13
3076,5,2,6.7
3077,6,23,22.9
3078,7,4,10.5
3079,8,19,8.9
3080,13,9,18.2
3081,14,31,16.1
3082,15,27,12.9
3083,16,17,6.9
3084,1,14,12
3085,2,10,20.6
3086,3,32,2
3087,4,7,20.8
3088,5,19,11.6
3089,6,27,26.7
3090,7,23,12.2
3091,8,28,13.8
3092,10,8,14.9
3093,11,31,6.4
3094,12,4,4.4
3095,13,27,7.6
3096,14,11,12.5
3097,16,32,29.2
3098,1,1,26.9
3099,2,8,15.6
3100,3,26,16.4
3101,4,20,19
3102,5,4,16.1
3103,6,11,4.3
3104,7,17,27.9
3105,8,1,14.6
3106,9,7,12.14
3107,10,9,26.7
3108,11,2,8.3
3109,12,5,27.4
3110,13,28,18.9
3111,14,22,11.2
3112,15,5,19.5
3113,16,9,31.9
3114,1,2,4.7
3115,2,1,1.2
3116,3,17,7.5
3117,4,18,11.7
3118,5,25,17.1
3119,7,9,6.4
3120,8,16,20.3
3121,9,3,22.7
3122,10,26,14.9
3123,12,10,26.8
3124,13,26,18.3
3125,14,14,16.7
3126,15,2,19.1
3127,16,17,9.1
3128,1,7,7.8
3129,2,16,12.4
3130,3,9,2.2
3131,4,10,19.9
3132,5,32,18.3
3133,6,23,20.6
3134,7,5,19.4
3135,9,25,0.8
3136,10,17,9.4
3137,11,3,4.8
3138,12,26,7.3
3139,13,17,13.2
3140,14,1,12.5
3141,15,7,15.6
3142,16,26,0.9
3143,2,6,4
3144,4,1,22.6
3145,5,29,18.4
3146,6,3,10.1
3147,7,8,41.4
3148,8,11,18.4
3149,9,5,21
3150,10,32,30.6
3151,11,11,12.9
3152,12,18,21.2
3153,13,9,5.4
3154,14,27,20.7
3155,15,28,23.4
3156,1,5,18.3
3157,2,24,7.6
3158,3,2,6.4
3159,4,30,10.4
3160,5,11,5.3
3161,6,28,12.2
3162,8,8,7.8
3163,9,1,6.2
3164,10,3,16.1
3165,11,5,19
3166,12,1,5.2
3167,13,4,9.1
3168,14,26,14.7
3169,15,17,2.5
3170,16,3,6.1
3171,1,10,11.6
3172,3,3,2.3
3173,5,19,12.5
3174,6,16,13.3
3175,8,17,14.2
3176,9,5,13.1
3177,10,7,6.1
3178,11,17,7.8
3179,12,2,3
3180,13,7,18.3
3181,14,9,14.3
3182,15,1,12.7
3183,16,2,9.1
3184,1,24,3
3185,2,30,8.3
3186,3,20,11.7
3187,4,15,14.1
3188,5,4,0.9
3189,6,5,3.7
3190,7,12,11.1
3191,8,24,18.9
3192,9,22,30.2
3193,10,31,16.9
3194,11,14,15.3
3195,12,6,4.5
3196,13,19,15.7
3197,14,23,13.9
3198,15,12,9.4
3199,16,22,7.9
3200,1,16,3.3
3201,2,11,11.5
3202,3,29,10.6
3203,4,3,2.3
3204,5,15,15.2
3205,6,6,7.7
3206,7,22,11.7
3207,8,30,7.6
3208,9,15,7.5
3209,10,24,1.4
3210,11,30,9
3211,13,12,24.7
3212,14,10,7.3
3213,15,25,7.8
3214,16,6,5.5
3215,1,29,3.5
3216,2,9,16.6
3217,3,8,11.4
3218,4,19,11.3
3219,5,22,14.5
3220,6,6,5.6
3221,8,29,28.3
3222,9,12,1.7
3223,10,20,-0.2
3224,11,22,11.7
3225,12,31,15.1
3226,13,14,3.6
3227,14,15,7
3228,15,30,6.4
3229,16,12,14.5
3230,1,3,2.5
3231,2,7,13.8
3232,3,28,4.6
3233,4,4,8.5
3234,6,11,20.6
3235,7,17,3.7
3236,8,15,9.2
3237,9,3,11.5
3238,10,9,19
3239,11,12,6.7
3240,12,9,18
3241,13,5,7.6
3242,14,2,8.9
3243,15,26,21.1
3244,16,5,4.5
3245,1,31,11.8
3246,2,15,18.6
3247,3,12,26.9
3248,4,6,14.9
3249,5,24,13.2
3250,6,20,6.5
3251,7,12,9.2
3252,9,29,5.7
3253,10,14,3.1
3254,11,24,14.2
3255,12,11,17.4
3256,13,30,14.8
3257,14,3,22.9
3258,15,23,7.4
3259,1,15,15.4
3260,2,4,2.1
3261,3,5,0.5
3262,4,22,6.5
3263,5,20,7.8
3264,6,24,4.6
3265,7,25,12
3266,8,12,20.2
3267,10,30,12.6
3268,11,16,9.6
3269,12,29,16
3270,13,10,13
3271,14,30,24.9
3272,15,15,13.9
3273,1,18,21.8
3274,3,19,8.2
3275,4,27,28.8
3276,5,23,15.1
3277,6,31,12.3
3278,7,32,24.3
3279,8,10,11
3280,9,23,12.7
3281,10,22,8.3
3282,11,29,8.4
3283,12,12,1.2
3284,1,23,1.5
3285,2,31,19.1
3286,3,18,9.4
3287,4,28,20.1
3288,5,2,6.5
3289,9,4,3.4
3290,10,19,17.3
3291,11,8,11.9
3292,12,27,1.9
3293,13,11,12
3294,14,16,2.1
3295,15,27,1.1
3296,16,18,2.6
3297,1,28,15.6
3298,2,6,13.5
3299,4,1,2
3300,6,3,4.1
3301,7,8,10.4
3302,8,11,2.2
3303,9,5,17.5
3304,10,32,12.3
3305,11,11,2.6
3306,12,18,4.1
3307,13,9,7.7
3308,14,27,3
3309,15,28,18.1
3310,2,26,10.4
3311,3,10,19.9
3312,4,17,9
3313,5,7,10.5
3314,6,30,31
3315,7,6,8.8
3316,12,19,4.7
3317,13,16,1.9
3318,15,20,18.2
3319,16,16,18.9
3320,1,20,1.3
3321,2,2,2.5
3322,4,23,1.1
3323,5,15,4.1
3324,6,26,31.3
3325,7,10,7.2
3326,8,7,18.6
3327,9,30,23.1
3328,11,6,12.8
3329,12,17,3.8
3330,13,25,3.1
3331,1,9,8.7
3332,2,28,21.7
3333,4,8,6.9
3334,5,29,1.4
3335,11,9,6.1
3336,12,3,9.7
3337,13,1,2.5
3338,14,17,16.8
3339,15,3,11.2
3340,16,1,2.7
3341,1,30,0.3
3342,2,23,4
3343,3,22,3.3
3344,4,31,3.7
3345,5,28,6.2
3346,6,29,1.9
3347,7,22,1
3348,8,6,0.5
3349,9,24,0.4
3350,10,15,4.8
3351,11,1,4.4
3352,12,14,3.6
3353,13,20,1.2
3354,14,19,7.5
3355,15,29,5.1
3356,16,24,4.2
3357,2,26,12.7
3358,3,10,14.1
3359,4,17,7.8
3360,7,6,1
3361,8,15,16
3362,9,2,7.2
3363,10,10,3.2
3364,12,19,11.9
3365,13,16,22.1
3366,15,20,5.5
3367,16,16,1.6
3368,1,25,0.2
3369,2,17,11.2
3370,3,16,3.2
3371,4,26,3.5
3372,5,10,1.7
3373,6,27,0.5
3374,7,30,2
3375,8,2,12.6
3376,9,6,5.4
3377,10,16,3.8
3378,11,7,22.2
3379,12,20,18.2
3380,13,15,13.2
3381,14,25,6.9
3382,16,10,11.3
3383,1,7,19.5
3384,2,30,20.7
3385,3,4,16.8
3386,4,32,15.4
3387,5,20,22.8
3388,6,11,16.1
3389,7,12,22.3
3390,8,26,17.1
3391,9,3,17.7
3392,10,30,8.5
3393,11,27,23.7
3394,12,32,11.3
3395,13,10,14.5
3396,14,21,16.9
3397,15,14,0.9
3398,16,21,17.9
3399,2,15,8.9
3400,3,8,13.8
3401,4,23,16.9
3402,5,5,13.5
3403,6,14,11.6
3404,7,13,11
3405,8,6,5.9
3406,9,18,7.6
3407,10,29,8.3
3408,11,24,17.3
3409,12,13,10.4
3410,13,12,16.9
3411,14,19,21.3
3412,15,29,16.8
3413,16,24,39.2
3414,1,18,11.8
3415,2,13,12.6
3416,3,24,7.4
3417,5,25,13.1
3418,7,14,33.4
3419,8,28,51.2
3420,9,16,11.9
3421,10,18,14.1
3422,11,5,18.3
3423,12,4,9.8
3424,13,29,19.2
3425,15,15,11.9
3426,16,5,22
3427,1,17,9.7
3428,2,24,18.2
3429,3,11,9.9
3430,4,15,21.5
3431,5,18,9.4
3432,6,10,5.2
3433,7,2,11.6
3434,8,27,16.6
3435,9,14,21
3436,10,20,19.1
3437,11,7,4.7
3438,12,3,13.8
3439,13,17,30.8
3440,14,26,18.7
3441,15,2,25
3442,16,15,11.4
3443,1,32,21.2
3444,2,17,9.5
3445,3,12,3.7
3446,4,26,22.6
3447,5,4,19.1
3448,6,1,3.4
3449,7,20,6.5
3450,8,15,18.7
3451,9,26,15.8
3452,10,21,8.8
3453,11,20,15.7
3454,12,7,13.1
3455,13,9,13.2
3456,14,2,0.3
3457,15,30,8.4
3458,16,7,19.4
3459,1,5,8.7
3460,2,26,2.2
3461,4,16,19.1
3462,5,12,16.1
3463,6,23,4.7
3464,7,28,1
3465,8,16,6.6
3466,9,6,16
3467,10,8,11.8
3468,11,4,10.7
3469,12,18,13.8
3470,13,19,22.5
3471,14,28,2.8
3472,15,21,27
3473,16,4,6.7
3474,1,26,15.4
3475,2,6,2.3
3476,3,7,4.9
3477,4,2,3.4
3478,5,9,4.5
3479,6,21,34.1
3480,7,10,14.8
3481,8,7,10.6
3482,9,1,6.3
3483,10,15,6.4
3484,11,10,6
3485,12,17,10.4
3486,13,30,13.7
3487,14,32,6.9
3488,15,16,20
3489,16,26,7.7
3490,1,29,4.4
3491,2,8,26.5
3492,3,26,11.1
3493,4,12,16.4
3494,5,13,18.8
3495,6,8,5.4
3496,7,21,1.9
3497,8,16,19.4
3498,9,12,13.6
3499,10,24,14.4
3500,11,6,17.2
3501,12,28,15.5
3502,13,25,17.1
3503,15,4,6.8
3504,1,11,17.3
3505,2,27,16.5
3506,3,14,5.2
3507,4,20,13.7
3508,5,26,16.6
3509,6,13,5.6
3510,7,1,18.2
3511,8,17,6.6
3512,9,15,17.5
3513,10,3,7.8
3514,12,15,11.8
3515,13,7,14.5
3516,14,10,17.7
3517,15,1,2.8
3518,16,17,14.9
3519,1,27,8.4
3520,3,3,3.4
3521,4,1,6.7
3522,5,17,7.6
3523,6,7,10
3524,7,11,11.7
3525,8,10,4.8
3526,9,2,18.7
3527,10,20,8.6
3528,11,17,13.9
3529,12,2,11.7
3530,13,26,13.3
3531,14,14,14.6
3532,15,23,13.7
3533,16,1,9.7
3534,1,8,21.3
3535,2,29,15.2
3536,3,10,21
3537,4,19,9.6
3538,5,25,11.8
3539,6,24,22.6
3540,7,9,5.4
3541,8,19,16.4
3542,9,28,12.8
3543,10,6,9.3
3544,11,16,16.4
3545,12,6,14.3
3546,14,4,4.1
3547,15,13,21.8
3548,16,8,0.5
3549,1,21,18
3550,2,11,8
3551,4,24,4.9
3552,5,30,12.7
3553,6,27,10
3554,7,18,15.4
3555,8,32,20.8
3556,9,9,3.6
3557,10,2,6.7
3558,11,14,2.6
3559,12,1,15.6
3560,13,14,11.9
3561,14,11,13.3
3562,15,17,15.5
3563,16,27,18.4
3564,1,9,11.5
3565,2,28,31.7
3566,3,20,6.2
3567,4,17,6.7
3568,5,8,13.2
3569,6,15,6.1
3570,7,20,4.5
3571,8,21,12.6
3572,9,32,0.9
3573,10,26,3.5
3574,11,1,14.2
3575,12,10,6.4
3576,13,2,10.3
3577,14,30,10.4
3578,15,26,28.7
3579,16,10,4.9
3580,1,25,3.2
3581,2,4,10.2
3582,3,16,14.1
3583,4,18,23.1
3584,6,28,3.9
3585,7,29,6.4
3586,8,24,16.2
3587,10,17,10.6
3588,11,23,9
3589,13,18,7.4
3590,14,13,12.1
3591,15,27,5.7
3592,16,23,7.8
3593,1,24,15.3
3594,2,23,1.6
3595,4,29,7.7
3596,5,19,26.9
3597,6,2,18
3598,8,24,5.8
3599,9,6,4.8
3600,10,8,5.1
3601,11,11,17.9
3602,15,12,4.7
3603,16,29,20.8
3604,1,16,11.8
3605,2,7,4.1
3606,3,6,17.5
3607,4,4,3.8
3608,5,5,13.8
3609,6,30,8.1
3610,7,25,13.7
3611,8,23,1.7
3612,13,4,12.4
3613,14,25,12.9
3614,15,18,4.8
3615,16,16,5.9
3616,3,32,19.4
3617,4,14,4.3
3618,5,29,9.4
3619,6,3,6.3
3620,7,1,5.5
3621,8,30,25
3622,9,14,4.8
3623,10,11,14.2
3624,11,9,11.9
3625,12,21,13.3
3626,13,11,4.9
3627,14,17,11.9
3628,15,5,10.6
3629,16,3,7.7
3630,1,3,0.6
3631,2,14,1.3
3632,3,30,1.2
3633,4,11,1.5
3634,5,20,4.2
3635,6,19,10.3
3636,7,32,13.1
3637,8,7,9.8
3638,9,30,5.9
3639,10,10,7.9
3640,11,26,4.1
3641,12,27,12.2
3642,13,32,10.4
3643,14,9,10.5
3644,15,25,6.9
3645,16,9,14.7
3646,3,5,5.6
3647,4,25,8.2
3648,6,4,9.3
3649,7,19,8.4
3650,8,25,7.2
3651,9,23,7.6
3652,10,4,8.3
3653,11,12,8.8
3654,12,8,5.1
3655,13,6,6.5
3656,14,18,3
3657,1,6,6.4
3658,2,5,24.4
3659,3,9,4.2
3660,4,28,19.5
3661,5,10,8.2
3662,6,16,9.8
3663,8,8,7
3664,9,18,6.9
3665,10,16,7.3
3666,1,13,14
3667,2,1,7.5
3668,3,23,11.5
3669,4,3,8.1
3670,5,12,9.7
3671,12,29,16.2
3672,13,8,13.5
3673,14,6,15.2
3674,1,4,5.4
3675,2,20,4
3676,3,28,-2
3677,6,8,12.2
3678,9,25,6
3679,10,12,8.1
3680,11,19,0.8
3681,12,12,11.7
3682,13,16,5
3683,14,24,8.2
3684,15,8,3.9
3685,16,19,6.1
3686,1,6,7.3
3687,2,5,-0.6
3688,3,9,11.1
3689,11,25,8.3
3690,12,23,22.7
3691,13,28,18.3
3692,14,12,12.7
3693,15,19,11.4
3694,1,2,5.2
3695,2,3,31.5
3696,3,28,6.9
3697,4,24,18.3
3698,5,9,10.7
3699,6,16,27.5
3700,7,7,15.4
3701,8,13,2.7
3702,9,21,14.1
3703,10,27,22.1
3704,11,32,24.3
3705,13,3,13.2
3706,14,18,18
3707,15,7,7.6
3708,16,13,16.1
3709,1,5,15.1
3710,2,32,14.1
3711,3,14,17.1
3712,4,15,17.7
3713,6,18,11.1
3714,8,25,23.9
3715,9,15,4.9
3716,10,12,18.5
3717,11,13,9.7
3718,12,32,15.1
3719,13,26,23.5
3720,14,23,13.1
3721,15,17,5.4
3722,16,25,33.7
3723,1,24,11.5
3724,2,17,5.6
3725,3,16,5.8
3726,4,26,10.3
3727,5,29,0.8
3728,6,9,10.2
3729,7,28,17
3730,9,22,12.1
3731,10,8,14.3
3732,11,6,12.5
3733,12,5,9.2
3734,13,18,19.5
3735,14,22,18.8
3736,15,29,17.9
3737,16,6,15.5
3738,1,3,11.2
3739,4,15,9.7
3740,5,12,12.5
3741,6,23,16.8
3742,7,32,17.2
3743,8,31,21
3744,9,17,8.4
3745,10,18,10.8
3746,11,32,21.8
3747,12,15,3.9
3748,13,27,15
3749,14,26,23.1
3750,15,14,21
3751,16,31,14.1
3752,1,25,12.5
3753,2,1,3
3754,3,9,10.3
3755,4,13,19.3
3756,5,24,14.1
3757,6,7,10.1
3758,7,16,22.4
3759,8,28,17.7
3760,9,2,10.3
3761,12,13,8.9
3762,13,1,11
3763,14,21,8.6
3764,15,27,16.3
3765,16,7,1.4
3766,1,17,9.4
3767,2,25,12
3768,3,15,13.3
3769,4,29,7.1
3770,5,26,14.1
3771,6,31,9.5
3772,7,22,15.3
3773,8,11,18.1
3774,9,32,13.9
3775,10,17,9.3
3776,11,3,5.2
3777,12,18,11.3
3778,13,6,3.1
3779,14,27,6.6
3780,15,26,14.8
3781,16,18,6.3
3782,1,28,16
3783,2,26,16.3
3784,3,17,23.2
3785,4,18,18.7
3786,5,16,18.5
3787,6,29,24.8
3788,7,24,16.3
3789,8,23,12
3790,9,20,9.6
3791,10,22,7.2
3792,11,11,27.7
3793,12,22,18
3794,14,29,51.5
3795,15,9,20.4
3796,1,7,0.4
3797,4,3,7.8
3798,5,28,9
3799,6,24,14.7
3800,7,2,12.9
3801,8,1,29.8
3802,9,16,12.8
3803,10,9,15.7
3804,11,31,7.1
3805,12,3,8.2
3806,13,7,20.3
3807,15,21,3.8
3808,1,12,6.5
3809,2,18,22.7
3810,3,29,4.5
3811,4,17,15.1
3812,5,26,21
3813,6,28,28.4
3814,7,9,10.9
3815,9,11,11.4
3816,10,6,7.9
3817,11,10,29
3818,12,6,15
3819,13,16,16.9
3820,14,11,5.5
3821,15,24,10.2
3822,16,29,12.4
3823,1,32,25.1
3824,2,7,6.9
3825,4,31,23.3
3826,5,25,6.9
3827,6,23,19.5
3828,7,5,9.4
3829,8,26,16.2
3830,9,31,11.3
3831,10,14,3.4
3832,11,21,10
3833,12,25,22.2
3834,14,12,16.1
3835,15,18,2.4
3836,16,32,12.5
3837,1,13,6.4
3838,2,15,15.4
3839,4,21,1.4
3840,5,2,11
3841,6,3,4.2
3842,7,1,8.2
3843,9,24,3.1
3844,10,28,8.7
3845,11,9,13.8
3846,12,17,7.6
3847,13,13,10.1
3848,14,16,19.8
3849,15,1,8.3
3850,16,3,4
3851,1,18,12.5
3852,2,6,7.4
3853,3,13,26.3
3854,4,11,9.2
3855,5,22,10.8
3856,9,32,5
3857,11,18,12.6
3858,12,29,28.2
3859,13,31,15.5
3860,14,25,21.3
3861,16,17,6.7
3862,1,22,13.1
3863,2,23,2.5
3864,4,20,1.7
3865,5,8,20.2
3866,6,25,4.9
3867,7,14,7.2
3868,8,23,3.8
3869,9,5,5.6
3870,10,31,20.8
3871,11,19,2.7
3872,12,14,7
3873,13,32,10.9
3874,14,15,6.4
3875,15,10,6.3
3876,16,5,7
3877,1,21,1.5
3878,2,10,5.2
3879,3,20,0.5
3880,5,27,2.7
3881,6,14,1.6
3882,7,10,10.2
3883,8,5,1.1
3884,10,20,15.8
3885,11,12,3.5
3886,12,8,7.3
3887,13,29,13.6
3888,14,2,6.6
3889,15,23,10.9
3890,16,8,1.9
3891,1,11,6.2
3892,2,16,10.1
3893,3,12,4.3
3894,4,1,2.5
3895,5,3,2
3896,6,13,8.8
3897,7,6,5.5
3898,8,9,7.9
3899,9,7,6.4
3900,10,29,11.7
3901,11,28,2.7
3902,12,10,28.2
3903,13,28,5.6
3904,14,9,9.2
3905,1,20,2.6
3906,2,19,4
3907,3,21,4.3
3908,4,27,7.9
3909,7,19,11.3
3910,8,8,13.9
3911,9,14,22.4
3912,10,2,8.8
3913,11,22,-0.6
3914,13,23,3.7
3915,14,8,3.4
3916,15,12,5.4
3917,16,20,7.4
3918,1,21,6.4
3919,2,10,13
3920,3,20,15.8
3921,4,16,10.8
3922,5,27,4.7
3923,6,14,5
3924,7,10,0.6
3925,8,5,3.9
3926,10,20,2.8
3927,11,12,6.5
3928,12,8,5.9
3929,13,29,3.8
3930,14,2,5.6
3931,15,23,8
3932,16,8,8.4
3933,1,9,0.2
3934,2,28,3.4
3935,3,22,1.5
3936,5,11,4.1
3937,6,6,2.1
3938,7,14,0.8
3939,8,17,23.6
3940,9,18,10.7
3941,10,24,20.8
3942,11,16,12.2
3943,12,26,16.3
3944,14,6,22.3
3945,15,11,7.2
3946,16,22,1.7
3947,2,13,6.8
3948,7,7,1.3
3949,8,2,7.6
3950,9,1,2
3951,10,21,6.5
3952,12,20,20.4
3953,13,25,8.1
3954,15,3,10.9
3955,16,2,9.4
3956,1,10,18.3
3957,2,30,21.3
3958,3,17,17.1
3959,5,7,17.2
3960,6,1,20.6
3961,7,23,19.2
