,Week,Rank,Fantasy
525,13,23,10.4
526,14,17,19.4
527,15,32,24.2
528,16,21,19.3
529,2,3,3
530,3,1,8.7
531,4,2,9.5
532,5,5,7.7
533,6,27,8.9
534,7,7,11.7
535,8,29,8.9
536,9,25,6.1
537,10,20,13.2
538,11,18,10.8
539,12,13,13
540,13,5,10.4
541,14,16,22.8
542,15,1,11
543,16,3,15.2
544,1,31,30.3
545,2,16,30.8
546,3,27,27.6
547,4,6,10.3
548,5,9,9.1
549,6,11,20
550,7,25,23.3
551,8,5,28.9
552,9,12,27.8
553,10,28,9.8
554,11,25,25.1
555,12,31,30.6
556,13,9,19.7
557,14,26,31.6
558,15,23,28.5
559,16,22,17.6
560,1,18,12.2
561,2,4,14.2
562,3,30,25.1
563,5,20,11.6
564,6,13,2.9
565,8,27,15.3
566,11,2,12.6
567,12,7,11.5
568,13,30,14.1
569,14,32,8.2
570,16,29,5.7
571,1,19,6.1
572,2,9,12
573,3,6,21.6
574,4,25,31.94
575,5,18,6.8
576,6,12,28.1
577,7,3,20.2
578,8,22,14.2
579,9,23,32.7
580,10,9,4.5
581,11,28,20.4
582,12,19,18.3
583,13,26,35.6
584,14,11,31.5
585,15,16,21.9
586,16,25,38
587,1,25,6.5
588,2,20,4.6
589,4,16,1.8
590,5,1,4.8
591,6,27,8.2
592,7,10,5.1
593,8,18,22.1
594,9,3,10.6
595,10,18,7.3
596,11,30,18.2
597,12,8,7.9
598,13,20,5.6
599,14,5,8.6
600,15,27,8.5
601,16,4,13.2
602,1,12,9.6
603,2,13,18.9
604,3,18,10.4
605,7,27,10.9
606,8,3,16.8
607,9,18,7
608,10,8,34
609,11,5,24.7
610,12,1,13.8
611,13,13,23
612,14,30,11.2
613,15,9,10.2
614,16,27,24.6
615,1,28,27.9
616,2,31,12.9
617,3,25,4.2
618,5,19,28
619,6,16,5.3
620,7,23,22
621,8,6,11.5
622,9,1,19.1
623,10,31,11.2
624,11,22,18.8
625,12,25,31.7
626,13,19,55.4
627,14,12,26.5
628,1,17,14.5
629,2,2,4.8
630,4,3,15.9
631,5,1,10
632,6,7,11.3
633,7,23,18.2
634,8,8,10.9
635,9,30,11.8
636,10,7,19.1
637,11,4,8.9
638,12,5,2.4
639,15,2,10.2
640,16,10,3.7
641,1,30,6.9
642,2,29,6
643,3,8,19.3
644,4,32,6.7
645,5,7,12
646,6,26,12.9
647,7,4,3.6
648,9,5,3.3
649,10,1,5.7
650,11,10,2.6
651,12,3,0.7
652,13,7,8.1
653,15,29,3.6
654,1,6,1.4
655,2,19,0.7
656,3,28,11.9
657,4,13,0.6
658,5,12,6.8
659,6,9,10.1
660,7,17,2.2
661,8,15,5
662,9,32,4.2
663,10,21,11.4
664,11,12,10.2
665,12,28,12.7
666,13,25,16.5
667,14,8,7.5
668,15,31,19.1
669,16,6,5.4
670,1,26,2.7
671,2,15,0.6
672,3,11,2.5
673,4,17,0.3
674,5,2,3.1
675,6,6,10.8
676,7,21,16.9
677,8,28,14.5
678,9,16,10.3
679,10,12,3.1
680,11,17,9.7
681,12,22,4.4
682,13,21,3.4
683,14,10,6.9
684,15,15,3.6
685,16,23,2.6
686,4,12,6.2
687,5,5,13.9
688,6,6,0.5
689,7,15,17.7
690,8,32,9.4
691,9,27,32
692,10,19,17.7
693,11,31,7.6
694,12,16,3.3
695,13,6,1.4
696,14,21,30.2
697,15,17,4.7
698,16,12,19.7
699,1,29,5.5
700,2,21,15
701,3,15,3.7
702,9,6,17.4
703,10,22,12.4
704,11,32,19.3
705,12,23,32.3
706,13,12,14.5
707,14,15,15.8
708,15,28,27.4
709,16,26,13.5
710,1,22,6.5
711,2,17,14
712,3,12,1.7
713,4,23,7.2
