,Week,Opponent,Rank,Fantasy
1956,13,CLE,21,11.9
1957,14,NWE,4,3.2
1958,15,TEN,8,6.3
1959,16,KAN,14,17.3
1960,1,PIT,2,2.6
1961,2,CIN,24,27.6
1962,3,OAK,26,7.8
1963,4,BAL,23,12.4
1964,5,NWE,4,1.1
1965,7,STL,31,6.1
1966,8,SEA,6,34.4
1967,9,PIT,2,2.3
1968,10,BAL,23,18.2
1969,11,HOU,22,20.7
1970,12,ARI,27,14.6
1971,13,NYJ,19,25.7
1972,14,BUF,18,17.4
1973,15,CIN,24,13.4
1974,16,SFO,20,12.9
1975,1,CIN,24,11.1
1976,2,NYJ,19,16.3
1977,3,ARI,27,12.1
1978,4,CLE,21,13.6
1979,5,SFO,20,13.6
1980,6,STL,31,13
1981,7,BUF,18,17.5
1982,8,PIT,2,10.2
1983,9,CIN,24,11
1984,10,CLE,21,18.6
1985,11,SDG,5,12.1
1986,12,NWE,4,21.9
1987,13,IND,1,3.2
1988,14,MIA,30,10.6
1989,15,SEA,6,1
1990,1,DEN,28,15.9
1991,2,PIT,2,8.5
1992,3,NWE,4,14
1993,4,NYJ,19,13.9
1994,5,DAL,13,9.8
1995,6,BAL,23,15.8
1996,7,NYJ,19,8.7
1997,8,CIN,24,26.32
1998,9,MIA,30,16.5
1999,13,MIA,30,8.7
2000,14,CLE,21,8.2
2001,15,NYG,17,17.2
2002,16,PHI,9,12.7
2003,1,GNB,7,13.1
2004,3,DET,32,40.1
2005,5,NYJ,19,15.6
2006,6,CHI,16,11.9
2007,7,MIN,12,21.2
2008,8,DAL,13,21.5
2009,10,MIA,30,14.8
2010,11,NWE,4,15.2
2011,12,SEA,6,19.9
2012,13,NYG,17,19.4
2013,14,DAL,13,14.4
2014,16,BUF,18,9.9
2015,2,TEN,8,14.7
2016,3,HOU,22,21.1
2017,4,DEN,28,20.6
2018,6,JAX,10,10.7
2019,7,CAR,15,28.9
2020,8,NWE,4,28.6
2021,9,SDG,5,7.2
2022,10,KAN,14,16.6
2023,11,ATL,29,11.8
2024,12,JAX,10,6.7
2025,13,BAL,23,26.1
2026,14,OAK,26,9.7
2027,15,HOU,22,9.1
2028,16,TEN,8,3.5
2029,1,ARI,27,13.6
2030,2,STL,31,20.5
2031,3,PIT,2,5.1
2032,4,SEA,6,10.1
2033,5,BAL,23,7.5
2034,6,NYG,17,11.1
2035,9,SEA,6,7.9
2036,10,STL,31,6.3
2037,11,ARI,27,33.4
2038,12,CAR,15,11.1
2039,13,MIN,12,7.7
2040,14,CIN,24,14.7
2041,15,TAM,3,19.2
2042,16,CLE,21,11.5
2043,1,STL,31,8.1
2044,2,HOU,22,3.1
2045,3,ATL,29,25.5
2046,4,TAM,3,6.1
2047,6,ARI,27,4.9
2048,7,IND,1,12.7
2049,8,TEN,8,6.9
2050,9,ATL,29,6.4
2051,10,GNB,7,10.8
2052,12,SFO,20,15.3
2053,13,JAX,10,2.9
2054,14,SEA,6,4.7
2055,15,DAL,13,1.7
2056,16,TAM,3,5.7
2057,1,SDG,5,1.8
2058,2,KAN,14,3.2
2059,3,DAL,13,2.4
2060,4,DET,32,3.7
2061,5,GNB,7,4.4
2062,6,MIN,12,3.9
2063,7,PHI,9,5.4
2064,8,DET,32,5.2
2065,9,OAK,26,2
2066,10,SEA,6,7.6
2067,11,DEN,28,14.6
2068,12,NYG,17,14.9
2069,14,MIN,12,7.7
2070,15,GNB,7,17.8
2071,1,CAR,15,2.1
2072,2,SFO,20,9.6
2073,3,TAM,3,13.3
2074,8,CLE,21,11
2075,10,SFO,20,11.2
2076,11,SEA,6,16.5
2077,12,ATL,29,22.7
2078,13,CIN,24,11.7
2079,14,GNB,7,23
2080,15,PIT,2,16.6
2081,16,ARI,27,5.6
2082,1,MIN,12,8.1
2083,2,JAX,10,11.4
2084,3,CAR,15,4.8
2085,4,HOU,22,7.1
2086,5,TEN,8,3.9
2087,6,NYG,17,2.8
2088,8,SFO,20,16
2089,9,CAR,15,20
2090,10,TAM,3,7.2
2091,11,IND,1,8
2092,12,STL,31,4
2093,14,TAM,3,1.9
2094,15,ARI,27,2.3
2095,16,SEA,6,14
2096,1,TEN,8,1.6
2097,2,ATL,29,6.7
2098,3,DEN,28,8.4
2099,4,KAN,14,6
2100,5,HOU,22,8.8
2101,6,IND,1,5.3
2102,7,TAM,3,6.8
2103,9,TEN,8,10.5
2104,10,SDG,5,8.5
2105,11,BUF,18,17.8
2106,12,IND,1,10.4
2107,13,CAR,15,19.6
2108,14,PIT,2,20.7
2109,15,OAK,26,17.1
2110,1,DET,32,1.9
2111,2,DEN,28,1.3
2112,3,CLE,21,5.7
2113,4,MIA,30,17.9
2114,5,SDG,5,2.6
2115,6,KAN,14,2
2116,7,TEN,8,9.7
2117,8,HOU,22,17.9
2118,9,CHI,16,8.4
2119,10,MIN,12,8.9
2120,11,KAN,14,21.7
2121,12,DEN,28,22.4
2122,13,GNB,7,5.7
2123,14,IND,1,15.6
2124,1,SEA,6,0
2125,3,STL,31,19.5
2126,4,CAR,15,11.6
2127,5,IND,1,2.9
2128,6,TEN,8,4.6
2129,7,DET,32,19.1
2130,8,JAX,10,7.4
2131,9,ARI,27,19.7
2132,10,ATL,29,16.8
2133,13,HOU,22,22.6
2134,14,ATL,29,17.9
2135,15,SFO,20,3.2
2136,1,TAM,3,17.7
2137,2,ARI,27,13.5
2138,3,CIN,24,10.8
2139,4,SFO,20,8.3
2140,5,PIT,2,3.2
2141,7,STL,31,6.5
2142,8,CLE,21,3.3
2143,12,PHI,9,12.5
2144,13,ARI,27,3.8
2145,14,CAR,15,2.3
2146,15,BAL,23,14.7
2147,16,ATL,29,9.1
2148,1,DAL,13,2.6
2149,5,NYJ,19,14
2150,6,ATL,29,8.8
2151,7,SFO,20,18.3
2152,8,MIA,30,13.7
2153,9,DAL,13,10.5
2154,10,DET,32,14.3
2155,13,PHI,9,4.1
2156,15,BUF,18,26.9
2157,16,NWE,4,17.1
2158,1,SDG,5,3.3
2159,2,KAN,14,11
2160,3,DAL,13,9.4
2161,4,DET,32,7.4
2162,5,GNB,7,12.9
2163,6,MIN,12,8.5
2164,7,PHI,9,6.5
2165,8,DET,32,6
2166,9,OAK,26,15.3
2167,10,SEA,6,14.7
2168,11,DEN,28,4.7
2169,1,KAN,14,3.3
2170,2,CAR,15,5.4
2171,4,ATL,29,7.4
2172,5,MIA,30,10.5
2173,7,TEN,8,1
2174,8,SDG,5,4.5
2175,9,OAK,26,18.2
2176,11,CLE,21,8.5
2177,12,TEN,8,17.1
2178,13,TAM,3,3.2
2179,14,DEN,28,13.1
2180,16,JAX,10,20.8
2181,2,NYG,17,2.1
2182,3,SDG,5,0.7
2183,4,MIN,12,1.8
2184,5,CHI,16,0.7
2185,7,DEN,28,9.2
2186,8,KAN,14,19.9
2187,9,MIN,12,9
2188,10,CAR,15,19.2
2189,11,DET,32,21.8
2190,12,DAL,13,22.2
2191,13,OAK,26,9.8
2192,14,STL,31,16.9
2193,15,CHI,16,11.7
2194,1,NYJ,19,7.2
2195,2,SDG,5,7.7
2196,3,BUF,18,10.3
2197,7,MIA,30,3.1
2198,9,IND,1,5.9
2199,10,BUF,18,7.9
2200,11,PHI,9,9.1
2201,12,BAL,23,12.3
2202,13,PIT,2,1.8
2203,14,NYJ,19,16.4
2204,15,MIA,30,21.6
2205,16,NYG,17,18.6
2206,1,BAL,23,0.1
2207,2,CLE,21,12.1
2208,3,SEA,6,6.3
2209,4,NWE,4,8.2
2210,5,KAN,14,33.7
2211,6,NYJ,19,9.4
2212,7,PIT,2,10.1
2213,8,BUF,18,4.9
2214,9,BAL,23,9.5
2215,10,ARI,27,10.9
2216,11,TEN,8,2.3
2217,12,PIT,2,5.8
2218,13,STL,31,5.4
2219,14,SFO,20,19
2220,15,CLE,21,14
2221,1,BAL,23,7.6
2222,2,CLE,21,19.1
2223,3,SEA,6,4.2
2224,5,KAN,14,0.8
2225,8,BUF,18,1.7
2226,9,BAL,23,4.8
2227,10,ARI,27,2.7
2228,11,TEN,8,14.8
2229,12,PIT,2,9.4
2230,13,STL,31,15.3
2231,14,SFO,20,2.3
2232,1,BUF,18,18.3
2233,2,OAK,26,13.6
2234,3,JAX,10,9.5
2235,4,IND,1,13.1
2236,5,SDG,5,6.5
2237,6,PIT,2,5.1
2238,8,DET,32,4.4
2239,12,OAK,26,14.9
2240,13,KAN,14,8.4
2241,14,HOU,22,2.7
2242,15,SDG,5,1.1
2243,1,HOU,22,8.7
2244,2,CHI,16,8.7
2245,3,MIN,12,3.7
2246,4,SDG,5,14.8
2247,5,JAX,10,1.5
2248,6,CIN,24,18.3
2249,7,OAK,26,19.3
2250,8,GNB,7,21.5
2251,1,DET,32,34.6
2252,2,TAM,10,4.8
2253,3,KAN,29,28.4
2254,4,CAR,12,5.5
2255,5,GNB,22,18.1
2256,6,CHI,16,5.4
2257,7,PHI,4,5.8
2258,8,OAK,24,13.9
2259,10,DEN,30,20.1
2260,11,CAR,12,35.7
2261,12,SDG,15,10
2262,14,TAM,10,24.2
2263,15,MIN,13,13
2264,16,STL,31,24.8
2265,1,IND,7,1.7
2266,3,TAM,10,3.4
2267,4,PHI,4,0.5
2268,5,DET,32,1.9
2269,6,ATL,11,2.3
2270,7,MIN,13,0.2
2271,8,DET,32,4.5
2272,9,TEN,2,14.5
2273,1,NYG,5,8.4
2274,3,ARI,28,14.7
2275,4,DAL,20,13.5
2276,5,PHI,4,21.8
2277,6,STL,31,26.3
2278,7,CLE,17,22.3
2279,8,DET,32,13.2
2280,9,PIT,1,12.4
2281,10,DAL,20,7.4
2282,11,SEA,25,15.9
2283,12,NYG,5,3.7
2284,13,BAL,3,2.6
2285,14,CIN,19,8.3
2286,15,PHI,4,14.1
2287,16,SFO,23,12
2288,1,IND,7,20.1
2289,2,CAR,12,11.3
2290,3,TAM,10,21.5
2291,4,PHI,4,8.5
2292,5,DET,32,18.1
2293,6,ATL,11,17
2294,7,MIN,13,13.3
2295,8,DET,32,13.1
2296,9,TEN,2,18.6
2297,10,GNB,22,10.4
2298,11,STL,31,24.6
2299,12,MIN,13,18.5
2300,13,JAX,21,10.6
2301,15,GNB,22,16.1
2302,16,HOU,27,7.5
2303,1,MIN,13,9.2
2304,2,DET,32,2
2305,3,DAL,20,3.4
2306,4,TAM,10,-0.4
2307,5,ATL,11,8.3
2308,6,SEA,25,9
2309,7,IND,7,17.7
2310,8,TEN,2,8.6
2311,9,MIN,13,13.5
2312,10,CHI,16,21.1
2313,12,CAR,12,3.9
2314,13,HOU,27,17.2
2315,14,JAX,21,8.8
2316,15,CHI,16,14.1
2317,16,DET,32,10.9
2318,1,CAR,12,11.2
2319,2,DEN,30,4
2320,3,NYJ,18,20.7
2321,4,OAK,24,23.5
2322,5,MIA,9,5.7
2323,6,NWE,8,11.8
2324,7,BUF,14,6.7
2325,9,KAN,29,11.7
2326,10,PIT,1,16.2
2327,11,IND,7,11.4
2328,12,ATL,11,12.6
2329,13,OAK,24,15.1
2330,14,KAN,29,13.4
2331,15,TAM,10,11
2332,16,DEN,30,27.6
2333,1,MIA,9,16.3
2334,2,NWE,8,7.5
2335,3,SDG,15,3.4
2336,4,ARI,28,6.9
2337,5,CIN,19,25.8
2338,6,OAK,24,15.9
2339,7,KAN,29,12
2340,8,BUF,14,16.7
2341,9,STL,31,32.9
2342,10,NWE,8,17.9
2343,11,TEN,2,17.7
2344,12,DEN,30,27.9
2345,13,SFO,23,12.8
2346,14,BUF,14,14.2
2347,15,SEA,25,9.6
2348,16,MIA,9,2.4
2349,1,DAL,20,7.6
2350,2,PIT,1,6.6
2351,3,BAL,3,7.7
2352,4,CIN,19,15.4
2353,5,NYG,5,15.2
2354,7,JAX,21,14.8
2355,8,BAL,3,6.2
2356,9,DEN,30,14.4
2357,10,BUF,14,6.5
2358,11,HOU,27,4.8
2359,12,IND,7,8.4
2360,13,TEN,2,1
2361,14,PHI,4,4.6
2362,15,CIN,19,7.6
2363,16,PIT,1,9.4
2364,1,PIT,1,4.9
2365,2,TEN,2,18.4
2366,3,JAX,21,17.6
2367,4,IND,7,21.6
2368,5,MIA,9,6.1
2369,6,DET,32,14.9
2370,7,CIN,19,12.6
2371,8,MIN,13,11.8
2372,9,BAL,3,2.4
2373,10,IND,7,21.6
2374,11,CLE,17,7.3
2375,12,JAX,21,30.2
2376,13,GNB,22,14
2377,14,TEN,2,11.5
2378,15,OAK,24,10.2
2379,16,CHI,16,16.8
2380,1,PHI,4,7.4
2381,2,NYG,5,9
2382,3,SEA,25,12.8
2383,4,BUF,14,24.8
2384,6,DAL,20,35.6
2385,8,ARI,28,1.7
2386,12,MIA,9,11
2387,13,ARI,28,8.6
2388,14,SEA,25,18.7
2389,15,SFO,23,11.9
2390,16,ATL,11,33.5
2391,1,SEA,25,15.4
2392,2,JAX,21,12.7
2393,3,OAK,24,23.4
2394,4,STL,31,8.1
2395,5,ARI,28,5.4
2396,6,SDG,15,15.2
2397,7,MIA,9,15.5
2398,8,NYJ,18,6.8
2399,9,NWE,8,4.6
2400,10,CLE,17,23.7
2401,11,KAN,29,16.4
2402,12,SFO,23,11.5
2403,13,MIA,9,3.5
2404,14,NYJ,18,14
2405,15,DEN,30,9.4
2406,1,ARI,28,21.1
2407,2,SEA,25,13.9
2408,3,DET,32,22.2
2409,5,NWE,8,13.8
2410,6,PHI,4,17.7
2411,7,NYG,5,6.1
2412,8,SEA,25,15.9
2413,9,ARI,28,10.5
2414,10,STL,31,21.4
2415,11,DAL,20,3.2
2416,12,BUF,14,6.9
2417,13,NYJ,18,12.5
2418,1,STL,31,21.2
2419,2,DAL,20,28.3
2420,3,PIT,1,1.2
2421,7,ATL,11,32.9
2422,8,SEA,25,9.6
2423,9,NYG,5,5.9
2424,10,CIN,19,7.1
2425,11,BAL,3,3.4
2426,12,ARI,28,37
2427,13,NYG,5,32.3
2428,14,CLE,17,6.7
2429,16,DAL,20,4.2
2430,2,STL,31,9.5
2431,3,CIN,19,9.5
2432,4,SEA,25,26.5
2433,5,CLE,17,12.7
2434,6,SFO,23,19.5
2435,7,PIT,1,5.3
2436,8,DAL,20,17.7
2437,9,PHI,4,22.6
2438,10,BAL,3,19.3
2439,13,PHI,4,5.2
2440,15,CAR,12,27.2
2441,1,DEN,30,10.9
2442,2,KAN,29,4.3
2443,6,NYJ,18,8.1
2444,7,BAL,3,2.2
2445,8,ATL,11,2.3
2446,9,CAR,12,9.8
2447,10,MIA,9,5.7
2448,11,DEN,30,11.5
2449,12,KAN,29,12.5
2450,13,SDG,15,5.9
2451,14,NWE,8,7
2452,15,HOU,27,9.7
2453,16,TAM,10,1.1
2454,5,DAL,20,3
2455,6,NYJ,18,0.6
2456,7,PIT,1,6.2
2457,8,HOU,27,6.9
2458,9,JAX,21,16.9
2459,10,PHI,4,7.9
2460,11,PIT,1,3.9
2461,12,BAL,3,1.8
2462,13,IND,7,5.8
2463,15,CLE,17,15.1
2464,16,KAN,29,19
2465,1,HOU,27,31.8
2466,2,CLE,17,10.5
2467,3,PHI,4,2
2468,10,SDG,15,11.9
2469,11,CIN,19,3.7
2470,12,NWE,8,8.7
2471,13,DAL,20,2.5
2472,14,BAL,3,5.6
2473,15,TEN,2,3.1
2474,16,CLE,17,17.6
2475,1,NWE,8,8.6
2476,2,OAK,24,2.2
2477,3,ATL,11,18.1
2478,4,DEN,30,29.8
2479,5,CAR,12,0.2
2480,11,BUF,14,10.5
2481,12,OAK,24,15.2
2482,13,DEN,30,3.6
2483,14,SDG,15,11.46
2484,15,MIA,9,16.8
2485,16,CIN,19,1.8
2486,2,ATL,11,13
2487,3,CHI,16,5.8
2488,4,GNB,22,8.6
2489,5,DEN,30,8.7
2490,6,CAR,12,13.3
2491,7,SEA,25,5.8
2492,8,DAL,20,0.8
2493,10,MIN,13,11.8
2494,11,DET,32,18.7
2495,13,CAR,12,6.2
2496,14,ATL,11,9
2497,15,SDG,15,3.9
2498,16,OAK,24,4.1
2499,2,CLE,17,13.5
2500,3,PIT,1,6.1
2501,4,TEN,2,6.6
2502,5,IND,7,4.4
2503,6,MIA,9,19.2
2504,7,OAK,24,9.7
2505,9,HOU,27,24.1
2506,10,NYG,5,2.5
2507,11,PHI,4,0.8
2508,14,PIT,1,3.3
2509,15,DAL,20,18.9
2510,16,JAX,21,10.9
2511,1,NYJ,18,3.9
2512,2,ARI,28,2.9
2513,3,NWE,8,11.9
2514,4,SDG,15,3.9
2515,5,HOU,27,11
2516,6,BAL,3,1.6
2517,7,BUF,14,9.9
2518,8,DEN,30,3.9
2519,9,SEA,25,18.6
2520,10,OAK,24,5.5
2521,11,NWE,8,10
2522,12,STL,31,5.4
2523,13,BUF,14,4.2
2524,14,SFO,23,3.4
2525,15,KAN,29,12.4
2526,16,NYJ,18,5.3
2527,1,HOU,17,22.7
2528,2,NWE,5,5.3
2529,3,TEN,28,2.2
2530,5,MIA,25,16.2
2531,6,BUF,16,28.7
2532,7,OAK,23,18.4
2533,8,MIA,25,13
2534,9,JAX,24,13.7
2535,10,NWE,5,10.3
2536,11,CAR,9,14.6
2537,12,BUF,16,10.9
2538,13,TAM,27,21.7
2539,14,ATL,14,5.2
2540,15,IND,8,16.5
2541,16,CIN,6,19.8
2542,1,SEA,26,6.7
2543,3,GNB,7,14.3
2544,4,SFO,4,8.5
2545,5,MIN,10,8.9
2546,6,JAX,24,12.8
2547,7,IND,8,13.3
2548,8,DET,32,22.6
2549,10,ARI,15,17.6
2550,11,SEA,26,17.6
2551,12,CHI,22,12.1
2552,13,TEN,28,5.3
2553,14,HOU,17,12.3
2554,16,SFO,4,6.3
2555,1,GNB,7,2.7
2556,2,PIT,13,1.2
2557,3,SEA,26,2.3
2558,4,DET,32,6.2
2559,1,DEN,12,16.8
2560,2,GNB,7,14.1
2561,3,PIT,13,14.1
2562,4,CLE,21,8.6
2563,5,BAL,3,19.6
2564,6,HOU,17,10.5
2565,7,CHI,22,24.9
2566,8,BAL,3,17.7
2567,9,PIT,13,2.2
2568,12,DET,32,12.5
2569,13,MIN,10,10
2570,14,SDG,11,7.2
2571,15,KAN,29,14
2572,1,CHI,22,12.7
2573,2,CIN,6,10.8
2574,3,STL,31,10.4
2575,4,MIN,10,10.1
2576,5,DET,32,10.7
2577,6,CLE,21,21.1
2578,7,MIN,10,5.1
2579,8,TAM,27,15.6
2580,9,DAL,2,8.7
2581,10,SFO,4,20.5
2582,11,DET,32,10.3
2583,12,BAL,3,4.1
2584,13,CHI,22,26.4
2585,14,PIT,13,9.7
2586,15,SEA,26,21.7
2587,16,ARI,15,11.1
2588,1,GNB,7,5.5
2589,2,PIT,13,6.2
2590,3,SEA,26,10.6
2591,4,DET,32,20
2592,5,ATL,14,4
2593,6,CIN,6,4.9
2594,7,CLE,21,24.1
2595,8,ARI,15,10.7
2596,9,SFO,4,16.1
2597,10,PHI,19,7.4
2598,11,MIN,10,6.1
2599,12,STL,31,13.6
2600,13,GNB,7,6.8
2601,14,BAL,3,4.9
2602,15,MIN,10,6.7
2603,16,DET,32,12.4
2604,1,KAN,29,12
2605,2,SDG,11,8.2
2606,3,CLE,21,13.5
2607,4,NWE,5,15.2
2608,5,CIN,6,20.3
2609,6,MIN,10,31.4
2610,7,DEN,12,16.8
2611,8,CIN,6,19.5
2612,9,CLE,21,16.4
2613,10,IND,8,13.5
2614,11,PIT,13,15.5
2615,12,GNB,7,7.1
2616,13,DET,32,27.9
2617,14,CHI,22,10.4
2618,15,PIT,13,15.5
2619,16,OAK,23,8.9
2620,1,CIN,6,1.9
2621,2,CLE,21,9.7
2622,3,OAK,23,15
2623,4,DAL,2,11.6
2624,5,NWE,5,10.4
2625,6,SDG,11,4.3
2626,7,BAL,3,7.5
2627,8,PIT,13,0.3
2628,10,SDG,11,6.6
2629,11,NYG,30,16.7
2630,12,KAN,29,20.6
2631,13,IND,8,7.6
2632,14,OAK,23,8.1
2633,15,PHI,19,9.5
2634,16,KAN,29,21.8
2635,1,TEN,28,0.6
2636,2,CHI,22,5.2
2637,3,CIN,6,31.1
2638,4,SDG,11,15.3
2639,5,DET,32,11.7
2640,6,CLE,21,4.8
2641,7,MIN,10,16.4
2642,8,DEN,12,4.1
2643,9,CIN,6,17.6
2644,10,KAN,29,11.7
2645,11,BAL,3,16.3
2646,12,OAK,23,7
2647,13,CLE,21,17.1
2648,14,GNB,7,8
2649,15,BAL,3,12
2650,1,ATL,14,11.8
2651,2,IND,8,7.2
2652,3,SDG,11,14.4
2653,4,BUF,16,15.6
2654,5,NYJ,1,13.8
2655,7,NYJ,1,6.8
2656,8,NWE,5,9.6
2657,9,TAM,27,10.7
2658,10,CAR,9,31.8
2659,11,BUF,16,15.5
2660,12,NWE,5,8.1
2661,13,JAX,24,15.5
2662,14,TEN,28,14.9
2663,15,HOU,17,6.1
2664,16,PIT,13,3.5
2665,1,ARI,15,16.8
2666,2,SEA,26,36.6
2667,3,MIN,10,0.4
2668,6,HOU,17,4.7
2669,7,IND,8,19.4
2670,8,TEN,28,21.8
2671,9,CHI,22,18.5
2672,10,GNB,7,12.8
2673,11,JAX,24,10.7
2674,12,SEA,26,4.2
2675,13,ARI,15,23.7
2676,14,PHI,19,12.6
2677,15,DET,32,19.2
2678,16,STL,31,25.2
2679,2,DAL,2,5.8
2680,3,TAM,27,15.2
2681,4,KAN,29,8.8
2682,5,OAK,23,7.5
2683,7,ARI,15,14.7
2684,8,PHI,19,10.7
2685,9,SDG,11,6.8
2686,10,ATL,14,11.2
2687,11,DEN,12,5.7
2688,12,DAL,2,23.3
2689,13,PHI,19,10.9
2690,15,CAR,9,0.1
2691,1,OAK,23,9.6
2692,4,PIT,13,1.4
2693,5,DEN,12,10
2694,6,KAN,29,7.3
2695,7,OAK,23,17.6
2696,8,NYG,30,3
2697,9,PHI,19,21.6
2698,10,DEN,12,13.3
2699,11,KAN,29,14.4
2700,12,CLE,21,14.5
2701,13,DAL,2,11.9
2702,14,CIN,6,11.7
2703,15,TEN,28,18.3
2704,1,PHI,19,6.7
2705,2,ATL,14,7.9
2706,3,DAL,2,1.6
2707,5,TAM,27,15
2708,6,BUF,16,4.5
2709,7,ARI,15,20.7
2710,9,ATL,14,20.2
2711,10,MIA,25,4.3
2712,11,NYJ,1,3.5
2713,12,TAM,27,18.6
2714,13,NWE,5,2.9
2715,14,MIN,10,24.3
2716,15,NYG,30,28.2
2717,1,JAX,24,11.7
2718,2,MIA,25,3.9
2719,3,ARI,15,13.1
2720,4,SEA,26,15.6
2721,5,TEN,28,14
2722,6,STL,31,12.7
2723,7,SFO,4,11.48
2724,8,HOU,17,23.2
2725,9,NWE,5,18.8
2726,10,BAL,3,14.1
2727,11,HOU,17,8.2
2728,12,TEN,28,21.6
2729,13,DEN,12,11.6
2730,14,JAX,24,7.3
2731,15,NYJ,1,10
2732,2,DEN,12,3.2
2733,3,BAL,3,8.5
2734,4,CIN,6,13.2
2735,5,BUF,16,2.1
2736,6,PIT,13,2.6
2737,7,GNB,7,3
2738,8,CHI,22,1.9
2739,9,BAL,3,0.8
2740,11,CIN,6,21.7
2741,12,SDG,11,1.9
2742,13,PIT,13,47.8
2743,14,KAN,29,18.8
2744,15,OAK,23,20.7
2745,1,BUF,16,4.1
2746,2,NYJ,1,2.3
2747,3,ATL,14,1.7
2748,4,BAL,3,2.3
2749,5,DEN,12,2.1
2750,6,TEN,28,19.3
2751,7,TAM,27,10.3
2752,8,MIA,25,14.2
2753,9,IND,8,10.6
2754,10,NYJ,1,19.7
2755,12,MIA,25,4.9
2756,13,CAR,9,11.1
2757,14,BUF,16,14.1
2758,15,JAX,24,2.2
2759,1,BAL,3,3.7
2760,3,PHI,19,7
2761,4,NYG,30,0.4
2762,5,DAL,2,6.3
2763,7,SDG,11,3.4
2764,8,JAX,24,7.5
2765,9,OAK,23,17.7
2766,10,PIT,13,18.6
2767,11,SDG,11,18.7
2768,12,DEN,12,9.9
2769,13,BUF,16,24.1
2770,14,CLE,21,23
2771,15,CIN,6,12.4
2772,16,DEN,12,38.2
2773,1,MIA,25,6.5
2774,2,CAR,9,15
2775,3,NWE,5,9.6
2776,4,SFO,4,27.7
2777,5,CHI,22,10.6
2778,6,DAL,2,11
2779,9,CAR,9,11.1
2780,11,TAM,27,3.3
2781,14,NYJ,1,0.7
2782,2,DAL,2,4.5
2783,3,TAM,27,10.4
2784,4,KAN,29,6.4
2785,5,OAK,23,28.5
2786,7,ARI,15,0.7
2787,8,PHI,19,8.1
2788,9,SDG,11,6.6
2789,10,ATL,14,3.4
2790,12,DAL,2,2.7
2791,13,PHI,19,16.1
2792,15,CAR,9,5.6
2793,16,MIN,10,4.6
2794,1,PIT,1,4.9
2795,2,ARI,30,7.5
2796,4,SFO,16,7.8
2797,5,CLE,13,14
2798,6,PHI,21,4.9
2799,7,CIN,24,26.4
2800,8,TAM,9,22.7
2801,9,BAL,3,3.9
2802,10,STL,12,18.7
2803,11,GNB,2,17.4
2804,12,TAM,9,14.8
2805,13,CAR,26,30.4
2806,14,SEA,25,8.2
2807,16,CAR,26,10.7
2808,1,ARI,30,8.7
2809,2,OAK,20,12.5
2810,4,SEA,25,12.4
2811,5,DET,19,12.6
2812,6,SDG,10,17.1
2813,7,TAM,9,14.5
2814,8,CAR,26,6.3
2815,9,SFO,16,20.8
2816,10,ATL,5,6.1
2817,11,DEN,32,6.6
2818,12,ARI,30,17.5
2819,14,KAN,11,16.4
2820,15,SFO,16,12.7
2821,16,SEA,25,8.4
2822,1,IND,23,41.8
2823,3,DAL,31,10.6
2824,4,OAK,20,30.9
2825,5,NYG,17,2.7
2826,6,KAN,11,21.7
2827,7,IND,23,22.7
2828,8,SDG,10,31.7
2829,9,JAX,27,12
2830,10,NYJ,6,24.3
2831,11,TEN,15,21.8
2832,12,PHI,21,22.9
2833,13,BAL,3,12.5
2834,14,TEN,15,6.1
2835,15,DEN,32,19.5
2836,16,JAX,27,31
2837,1,ATL,5,19.5
2838,2,TEN,15,7.2
2839,3,TAM,9,20.3
2840,4,BAL,3,20.8
2841,5,CLE,13,15.9
2842,6,MIA,14,4.3
2843,8,CIN,24,19
2844,9,NWE,8,5.5
2845,10,OAK,20,9.9
2846,11,BUF,28,19.1
2847,12,BAL,3,6.3
2848,13,CIN,24,7.5
2849,14,NYJ,6,15.9
2850,15,CAR,26,14.3
2851,16,CLE,13,18
2852,1,NWE,8,9.4
2853,2,BAL,3,7.8
2854,3,CAR,26,21
2855,4,CLE,13,6
2856,5,TAM,9,18.3
2857,6,ATL,5,5.6
2858,7,MIA,14,8.1
2859,8,PIT,1,13.4
2860,9,IND,23,3.1
2861,10,BUF,28,18.6
2862,11,NYJ,6,4.1
2863,13,PIT,1,4.5
2864,14,CLE,13,21
2865,15,SDG,10,3.2
2866,16,BAL,3,6.5
2867,1,NYJ,6,6.2
2868,2,CIN,24,11.7
2869,3,CLE,13,9.6
2870,4,PIT,1,2.9
2871,5,DEN,32,27.9
2872,6,NWE,8,12.6
2873,7,BUF,28,7.3
2874,8,MIA,14,18
2875,9,ATL,5,10.2
2876,10,CAR,26,19.1
2877,11,TAM,9,12.9
2878,12,PIT,1,5
2879,13,HOU,29,12
2880,15,CLE,13,9.2
2881,16,CIN,24,13.7
2882,1,CAR,26,13.3
2883,2,IND,23,8.9
2884,3,TEN,15,15.8
2885,4,CHI,4,18.3
2886,5,HOU,29,8.9
2887,6,DET,19,14.3
2888,7,DAL,31,11.8
2889,8,SEA,25,21.2
2890,9,DAL,31,13.5
2891,10,PHI,21,0.4
2892,11,JAX,27,10.3
2893,13,MIN,18,17.5
2894,14,PHI,21,8
2895,15,GNB,2,5.2
2896,1,TAM,9,10.5
2897,2,KAN,11,12.1
2898,3,BAL,3,24
2899,4,CIN,24,17
2900,5,ATL,5,11.7
2901,6,PIT,1,9
