,Week,Opponent,Rank,Fantasy
304,14,SEA,23,14.6
305,15,DET,31,22.9
306,16,CLE,10,8.1
307,1,NYG,3,11
308,2,DEN,15,3.5
309,4,STL,24,19.3
310,5,SEA,23,9.4
311,7,ARI,29,5.1
312,8,OAK,6,2.8
313,9,KAN,28,15
314,10,SDG,22,8.8
315,11,PHI,2,9.6
316,12,SEA,23,33.2
317,13,DAL,13,3.3
318,14,GNB,12,5.7
319,15,ARI,29,10.7
320,16,STL,24,4.3
321,1,DEN,15,17
322,2,NYG,3,22.3
323,3,TAM,1,9.6
324,4,DAL,13,12
325,5,SFO,18,11
326,6,OAK,6,24
327,7,SEA,23,47.5
328,8,ARI,29,29.6
329,9,SDG,22,5.2
330,12,PHI,2,5.1
331,13,KAN,28,4.8
332,14,ARI,29,4.6
333,15,SEA,23,3
334,16,SFO,18,7.3
335,1,BAL,19,8.4
336,2,DET,31,25.7
337,3,MIN,30,28.6
338,4,GNB,12,19.3
339,5,ARI,29,2.6
340,6,DAL,13,8.8
341,7,ATL,8,2.9
342,8,TAM,1,8.2
343,10,TAM,1,5
344,11,ATL,8,3.2
345,1,ARI,29,21
346,2,PHI,2,7.6
347,3,SFO,18,6.5
348,4,TEN,11,22.4
349,6,GNB,12,9.1
350,7,IND,7,7.2
351,10,NYG,3,5.9
352,11,STL,24,26.8
353,12,DAL,13,6.2
354,13,NYG,3,13.1
355,14,PHI,2,0.4
356,2,BAL,19,9.5
357,3,STL,24,8.1
358,4,CIN,32,6.1
359,5,ATL,8,7.1
360,6,CLE,10,14.8
361,7,PHI,2,6.4
362,8,CAR,5,3.2
363,9,MIN,30,3.7
364,10,CAR,5,5.8
365,11,GNB,12,7.3
366,13,ATL,8,7.5
367,14,DET,31,15.3
368,15,PIT,16,2.4
369,16,CHI,25,11.8
370,1,DAL,13,2.4
371,2,SDG,22,0.3
372,3,IND,7,10.7
373,4,PHI,2,3.3
374,5,BUF,27,7
375,6,CLE,10,3.4
376,7,JAX,9,8.7
377,8,CIN,32,4.4
378,9,TEN,11,4.6
379,10,JAX,9,1.5
380,11,NYG,3,12.5
381,12,IND,7,-2
382,13,PIT,16,1.2
383,14,BAL,19,11.7
384,16,TEN,11,0.1
385,1,NWE,17,2.9
386,2,OAK,6,1.5
387,3,CLE,10,1.3
388,5,CIN,32,6.5
389,6,IND,7,8.7
390,7,BAL,19,17.3
391,8,CLE,10,17.3
392,9,ATL,8,12
393,10,TEN,11,5.3
394,11,CIN,32,1.7
395,12,JAX,9,1.4
396,13,HOU,20,9.6
397,14,CAR,5,7.1
398,15,TAM,1,2.1
399,16,BAL,19,23.7
400,2,SEA,23,9.1
401,3,SDG,22,25.1
402,4,NYG,3,4.7
403,6,DAL,13,16.2
404,7,SFO,18,2.1
405,8,STL,24,6.5
406,9,SEA,23,12.6
407,10,PHI,2,21.5
408,11,OAK,6,6.3
409,12,KAN,28,13
410,13,DET,31,33.8
411,14,STL,24,9.5
412,15,SFO,18,6.4
413,1,NWE,17,1.5
414,2,OAK,6,4.6
415,3,CLE,10,2.4
416,5,CIN,32,22.9
417,6,IND,7,16
418,9,ATL,8,0.6
419,10,TEN,11,22.6
420,11,CIN,32,9.7
421,12,JAX,9,3
422,13,HOU,20,20.2
423,14,CAR,5,6.4
424,1,HOU,27,16.9
425,2,NYJ,8,22.2
426,3,BUF,5,18.9
427,4,NYG,29,11.9
428,5,JAX,18,11.5
429,6,NWE,1,10.3
430,7,SDG,31,7.5
431,8,IND,20,11.9
432,9,TEN,13,5.9
433,10,BAL,6,12.9
434,12,DAL,2,12.5
435,13,NWE,1,7.3
436,14,PHI,7,16.8
437,15,BUF,5,11.6
438,16,NYJ,8,20.5
439,1,PIT,16,11.3
440,2,CLE,12,41.5
441,3,SDG,31,19.9
442,4,KAN,19,21.9
443,5,ARI,32,13.1
444,6,CIN,28,10.9
445,7,DEN,9,22.2
446,8,JAX,18,8.3
447,9,STL,17,15.3
448,10,MIA,3,9.1
449,11,SEA,15,14
450,12,SFO,21,13.8
451,13,CIN,28,34
452,14,OAK,25,12.5
453,15,CLE,12,34.6
454,16,PIT,16,16.7
455,1,MIN,23,21.5
456,2,DET,26,22
457,3,ARI,32,7.6
458,4,CHI,22,30
459,5,SEA,15,24.5
460,6,KAN,19,29
461,7,STL,17,13.7
462,8,MIN,23,24.9
463,9,PHI,7,32.4
464,10,TAM,4,18.4
465,11,SFO,21,15.4
466,12,DET,26,6.7
467,13,CHI,22,15.7
468,14,SDG,31,19.6
469,15,OAK,25,18.9
470,16,DEN,9,34.7
471,1,SEA,15,13.4
472,2,HOU,27,17.2
473,3,TEN,13,3.1
474,4,IND,20,18.6
475,5,CAR,10,18.3
476,6,CHI,22,13
477,7,ATL,30,23.6
478,8,CAR,10,13.3
479,9,TAM,4,12.6
480,10,ATL,30,35.7
481,11,PHI,7,35.2
482,13,TAM,4,8.8
483,14,NYG,29,14.5
484,15,JAX,18,11.3
485,16,DAL,2,5.5
486,1,CAR,10,12.2
487,2,BUF,5,8.1
488,3,IND,20,11.7
489,4,HOU,27,13.4
490,5,SDG,31,28.4
491,6,MIA,3,7.9
492,7,TEN,13,6.9
493,8,BAL,6,10.8
494,9,IND,20,27.2
495,10,TEN,13,6.5
496,11,NYJ,8,9.9
497,12,TAM,4,13
498,13,HOU,27,22.3
499,14,NWE,1,8.9
500,16,ATL,30,12.5
501,1,NWE,1,24.6
502,2,JAX,18,20.8
503,3,MIA,3,-1.3
504,5,CIN,28,21.9
505,6,NYJ,8,8.8
506,8,KAN,19,12.4
507,9,DAL,2,8
508,10,HOU,27,15.3
509,11,IND,20,9.8
510,12,NYG,29,17.9
511,13,NYJ,8,21.5
512,14,TEN,13,10.1
513,15,MIA,3,5.3
514,16,NWE,1,4.3
515,2,ARI,32,12.2
516,3,STL,17,6.6
517,4,GNB,11,15.5
518,5,SFO,21,12.3
519,6,CHI,22,24.2
